eng_abv,eng_name,eng_desc,valid1,label1,confident1,derived_eng_desc1
TU399,Professional Internship,"Students will learn about and practise professional work in an organization approved by the faculty under the supervision of the advisory committee. There will be clear stipulation of the internship duties and responsibilities, duration and appraisal criteria. The focus will be on learning via application of knowledge and skills gained during the programme to a real professional situation in preparation for entry into the world of work after graduation.",1,00 Generic programmes and qualifications,0.8,"Generic professional internship, applying skills in a real-world work situation."
RT100,Fundamental Sustaianable and Technology,"Sustainable Development Goals (SDGs), meaning and principle of sustainable development, application of the philosophy of sufficiency economy for sustainable development, technology and innovation for self-reliance and sustainable development, field trip.",1,00 Generic programmes and qualifications,0.8,"Covers fundamental principles of sustainable development and technology for self-reliance, indicating a broad, generic program."
PCD207,Design Thinking for Development,"Thinking process for deep understanding on social problems and generate tons of solution ideas, building a bunch of prototypes, sharing what made with the people designing for and involving the human perspective in all steps of the problem-solving process.",1,00 Generic programmes and qualifications,0.8,Focuses on design thinking methodology for understanding social problems and generating human-centered solutions.
TU232,Experiential Learning 2,To learn continuously from TU 231 Experiential Learning 1; to earn this course credit is when the intellectual property registration has been approved by the concerned organization and has been successfully registered or the accomplishment has been generated into the substantial income continuously by any organization.,1,00 Generic programmes and qualifications,0.8,"Focuses on experiential learning, intellectual property, and income generation, which are broad skills."
TU332,Learning through Advanced Practices in Selected Organizations 2,"To learn continuously from TU331 Learning through Advanced Practices in Selected Organizations 1 by either old or new department; total working hours are not less than 405 hours and have the accomplishment that meets the evaluation criteria set in the University Announcement. However, an instructor must be qualified according to the criteria set by the University and register in “Learning through Practices and Experiences Course Instructor Lists” of University's Academic Division and the advisor must be approved by the instructor or be the instructor himself.",1,00 Generic programmes and qualifications,0.8,"Focuses on advanced practical learning in organizations, developing general professional skills."
TU331,Learning through Advanced Practices in Selected Organizations 1,"To learn through advanced practices both individually or group in the companies or the University cooperated organizations stated in the University Announcement by working together with an adviser or under supervision of an advisor in order to develop and implement projects or solving problems in the department; total working hours are not less than 405 hours and have the accomplishment that meets the evaluation criteria set in the University Announcement. However, an instructor must be qualified according to the criteria set by the University and register in “Learning through Practices and Experiences Course Instructor Lists” of University's Academic Division and the advisor must be approved by the instructor or be the instructor himself.",1,00 Generic programmes and qualifications,0.8,"Focuses on advanced practical learning in organizations, developing general professional skills."
TU333,Full-time Practices for Credits,"To learn through full-time practices with the University cooperated organizations stated in the University Announcement under supervision of an advisor; total working hours are not less than 675 hours and have the accomplishment that meets the evaluation criteria set in the University Announcement. However, an instructor must be qualified according to the criteria set by the University and register in “Learning through Practices and Experiences Course Instructor Lists” of University's Academic Division and the advisor must be approved by the instructor or be the instructor himself.",1,00 Generic programmes and qualifications,0.8,"Focuses on full-time practical experience in organizations, developing general professional skills."
TU231,Experiential Learning 1,"To learn through individual or group practices by working together with an adviser or under supervision of an advisor with the result of invention or other accomplishments that have complete qualifications to apply for petty patent, patent, copyright, or register as an intellectual property with the state agencies or international organization successfully. However, an instructor must be qualified according to the criteria set by the University and register in “Learning through Practices and Experiences Course Instructor Lists” of University's Academic Division and the advisor must be approved by the instructor or be the instructor himself.",1,00 Generic programmes and qualifications,0.8,"Focuses on experiential learning leading to intellectual property registration, developing broad skills."
TU221,Learning through National Competition,"To learn through individual or group practices by working together with an adviser or under supervision of an advisor; to join national competition stated in the University Announcement with the result of attending the final stage of that competition. However, an instructor must be qualified according to the criteria set by the University and register in “Learning through Practices and Experiences Course Instructor Lists” of University's Academic Division and the advisor must be approved by the instructor or be the instructor himself.",1,00 Generic programmes and qualifications,0.8,"Focuses on learning through national competition, developing general skills and personal achievement."
TU222,Learning through National Competition,"To learn through individual or group practices by working together with an adviser or under supervision of an advisor; to join national competition stated in the University Announcement with the result of attending the final stage of that competition. However, an instructor must be qualified according to the criteria set by the University and register in “Learning through Practices and Experiences Course Instructor Lists” of University's Academic Division and the advisor must be approved by the instructor or be the instructor himself.",1,00 Generic programmes and qualifications,0.8,"Focuses on learning through national competition, developing general skills and personal achievement."
DIN432,Design Report and Presentation,"Writing and editing reports for Capstone Design Projects In terms of educational concepts and designs, explaining the process of studying and developing social innovation designs, as well as publicly presenting designs from Capstone Design Projects in various formats. There is supervision through the advisory system.",1,00 Generic programmes and qualifications,0.8,"Focuses on writing and presenting design reports for Capstone Projects, emphasizing communication and social innovation design."
BS470,Problem Solving through Design Thinking Methods,"An introduction to theory and practice of design thinking processes for understanding social problems, solving complex issues, and creating innovations.",1,00 Generic programmes and qualifications,0.85,"Introduces design thinking methods for problem-solving, understanding social issues, and fostering innovation."
GTS352,International Competition Participation,"A student or a group of students under supervision of an advisor from an academic program that can participate in the last round of the international competition approved by the academic program, and has an evidence or certificate of participation, are eligible to earn 3 credits from this course. This course may be registered after the competition is finished not later than 2 years. The grade of this course is considered by the advisor and a committee member set by the academic program based on the outcome of the competition.",1,00 Generic programmes and qualifications,0.9,"Recognizes participation in international competitions, focusing on general skill development rather than a specific field."
GTS351,National Competition Participation,"A student or a group of students under supervision of an advisor from an academic program that can participate in the last round of the national competition approved by the academic program, and has an evidence or certificate of participation, are eligible to earn 3 credits from this course. This course may be registered after the competition is finished not later than 2 years. The grade of this course is considered by the advisor and a committee member set by the academic program based on the outcome of the competition.",1,00 Generic programmes and qualifications,0.9,"Recognizes participation in national competitions, focusing on general skill development rather than a specific field."
IPI230,English for Academic Purposes 1,"Acquire and practice various basic to intermediate language skills for academic purposes. Topics include literature review, critical reading, paragraph and essay writing, citing and referencing, academic exchange and presentation.",1,00 Generic programmes and qualifications,0.9,"Teaches basic to intermediate English language skills for general academic purposes, including writing and presentation."
IPI231,English for Academic Purposes 2,"Acquire and practice various intermediate to advanced language skills for academic purposes. Topics include literature review, critical reading, paragraph and essay writing, citing and referencing, academic exchange and presentation.",1,00 Generic programmes and qualifications,0.9,"Teaches intermediate to advanced English language skills for general academic purposes, including writing and presentation."
СМО542,Research Project 2,"An independent research project on an approved topic, supervised by faculty members. This is the completion of the research proposal in Research Project1. Preparing the complete study for presents his/her research at seminar sessions",1,00 Generic programmes and qualifications,0.9,"Generic independent research project without a specified field, focusing on general research skills."
LSE311,Essence of Coaching,"Concepts and principles of coaching, agenda of coaching, goal setting, power of questions, cultivating and discovering the capacities of learners, basic skills of coaching, giving and receiving feedback, practical application of coaching",1,00 Generic programmes and qualifications,0.9,Focuses on general coaching principles and skills for personal and professional development.
JM358,Presentation Design and Technique,"Concepts and techniques of presentation as an effective communication tools. Presentational skill for various communicative purposes and target audiences. Designing personal and material image construction, employing technique necessary form, carrying out presentation project.",1,00 Generic programmes and qualifications,0.9,Focuses on presentation design and techniques as effective communication tools and general skills.
TTD360,Creative Thinking,"Designed to foster independent thinking this course strengthens students' capacity to reason clearly, critically, and creatively, including the ability to analyze the arguments of others, to synthesize effective argument of their own, and evaluating data from observational experience for creative communication including written and visual language.",1,00 Generic programmes and qualifications,0.9,"Develops independent, critical, and creative thinking, argument analysis, synthesis, and creative communication skills."
SV321,Innovation and Creativity Workshop,Developing a design thinking mindset to enhance creativity; flexibility; empathy as a team; sharpening “soft skills” to become a more agile leader; innovative problem-solving techniques for online and on-site workshops,1,00 Generic programmes and qualifications,0.9,"Focuses on design thinking, creativity, soft skills, and agile leadership for problem-solving."
BEB488,International Research Experience Training 1,"Doing research abroad. Research and problems solving under supervision of foreign supervisor, experimental and searching information from various sources. A report is required.",1,00 Generic programmes and qualifications,0.9,"Generic research training abroad, focusing on problem-solving and information gathering."
BEB489,International Research Experience Training 1,"Doing research abroad. Research and problems solving under supervision of foreign supervisor, experimental and searching information from various sources. A report is required.",1,00 Generic programmes and qualifications,0.9,"Generic research training abroad, focusing on problem-solving and information gathering."
EB250,Academic Writing,"Elements of term papers and research papers; rationale and the “moves” of an academic paper; techniques and strategies involved in searching for, evaluating, and using relevant literature; avoiding plagiarism through appropriate referencing; stylistic and grammatical choices required for a writer to create clear, coherent, and logical academic papers.",1,00 Generic programmes and qualifications,0.9,"Teaches academic writing, research paper elements, referencing, and grammar, a generic academic skill."
TH292,Basic Critical Reading,"Knowledge relating to analytical and critical reading, practice of analytical and critical reading skills.",1,00 Generic programmes and qualifications,0.9,"Develops analytical and critical reading skills, a general and non-specialised competence."
BEB496,Cooperative Education I,On the job training as a temporary employee according to the assigned project including report writing and presentation.,1,00 Generic programmes and qualifications,0.9,"Provides generic on-the-job training as a temporary employee, focusing on practical experience and report writing."
PCD492,Co-operative Education,"On the job training as a temporary employee or trainee according to the assigned project, not less than 1 semester, including report and presentation.",1,00 Generic programmes and qualifications,0.9,"Provides generic on-the-job training as a temporary employee or trainee, including report and presentation."
EL212,English for Job Applications,Practice in communicative English related to the online and on-site job application procedure. Analysis of the major elements of a job search. Preparation of application documents and practice for a job interview.,1,00 Generic programmes and qualifications,0.9,"English communication skills for job applications, a general personal and professional skill."
EG231,Essay Writing,"Principles and theoretical foundation for writing different types of essays; writing process, organization of ideas, use of language appropriate for different types of essays.",1,00 Generic programmes and qualifications,0.9,"Focuses on general essay writing skills, including process and organization, suitable for a generic program."
EG221,Integrated Reading and Writing,"Reading skills for various types of texts; ability to analyze, research and synthesize information from reliable sources; ability to paraphrase, summarize texts and reflect their views in the form of writing in their own words.",1,00 Generic programmes and qualifications,0.9,"Develops integrated reading and writing skills, research, analysis, and synthesis, which are broad, general academic skills."
SA411,Design and Management of Research Project,Research writing techniques in quantitative and qualitative research. Strategic management and budgeting for research projects. Research planning and writing research proposal for funding agencies. Practice of research design and project management.,1,00 Generic programmes and qualifications,0.9,"Covers design and management of research projects, including writing techniques, strategic planning, budgeting, and proposal development."
LSE361,Self and Career Development 3,"Self-reflection and self-assessment on learning experiences, connections between knowledge and life and personal interests; competency assessment; preparation for internship.",1,00 Generic programmes and qualifications,0.9,"Focuses on self-reflection, self-assessment, competency, and career preparation, including internships."
LSE262,Self and Career Development 2,Self-reflection and self-assessment on learning experiences; connections between knowledge and life and personal interests; empathic skills; exploration of career interests and professional possibilities; relationship management and work-life balance; building on group achievement toward personal growth.,1,00 Generic programmes and qualifications,0.9,"Covers self-reflection, career exploration, empathic skills, relationship management, and work-life balance for personal growth."
LSE261,Self and Career Development 1,Self-reflection and self-assessment on learning experiences; connections between knowledge and life and personal interests; exploration of career interests and professional possibilities; psychological well-being and emotional understanding; relationship management; team working; goal setting; systematic and practical planning; work-life balance.,1,00 Generic programmes and qualifications,0.9,"Focuses on self-reflection, career exploration, psychological well-being, relationship management, teamwork, and goal setting."
TU300,Multidisciplinary Service Learning Project,Service Learning through the implement of knowledge and professional skills of students from different faculties or majors; Learning the integration of knowledge in different disciplines to solve problems for the people.,1,00 Generic programmes and qualifications,0.9,"Multidisciplinary project applying knowledge to solve problems for people, focusing on generic skills."
PCD342,Preparing for Volunteer Works,"The necessity and benefits of volunteer preparation for short-term and long-term volunteering. Practical guidelines provided for preparing volunteers and instruments for performing tasks in different areas such as job-specific operations. Operating psychological environment conditions, among others, and presenting case examples to prepare for different types of volunteering.",1,00 Generic programmes and qualifications,0.9,"Focuses on preparing for volunteer work, providing general skills and guidelines for civic engagement."
GS551,Special Topic for Global Studies and Sustainability 2,"This course is intended for students who have taken part in an exchange program. It covers interdisciplinary knowledge in the fields of arts, humanities, and science. As such the students acquire integrated skills that enable them to span the boundaries between diverse fields and instill a sense of global citizenship. Topics covered are different from GS 550",1,00 Generic programmes and qualifications,0.9,"Interdisciplinary course covering arts, humanities, and science for global studies and sustainability."
GS550,Special Topic for Global Studies and Sustainability 1,"This course is intended for students who have taken part in an exchange program. It covers interdisciplinary knowledge in the fields of arts, humanities, and science. As such the students acquire integrated skills that enable them to span the boundaries between diverse fields and instill a sense of global citizenship. Topics covered are different from GS 551",1,00 Generic programmes and qualifications,0.9,"Interdisciplinary course covering arts, humanities, and science for global studies and sustainability."
SPD112,Academic Writing II,"This course will develop students' ability to write in a professional and academic manner while advancing students' analytical and critical thinking skills. It encourages the appropriate use of terminology and phrases; provides insight into the mechanics of a social science paper and its various sections; and focusses on how to create a logical, clear, concise, and well-structured paper. This will involve learning about professional academic writing based on global standards and guidelines on writing structure, format, content, methodology and citations that are used by reputed international and regional journals.",1,00 Generic programmes and qualifications,0.9,"Develops academic writing, analytical, and critical thinking skills for professional and academic contexts."
TU108,Self Development and Management,Coping with and adaptation to university life. Development of social skill and emotional intelligence. Self-understanding and planning for the future. Personality and social etiquette. Lifelong learning. Learning to live harmoniously and respectfully with others and the society. Holistic healthcare.,1,00 Generic programmes and qualifications,1,"Focuses on personal skills, social adaptation, emotional intelligence, and lifelong learning, fitting generic programs."
EG416,Seminar in Current Issues,Development of academic presentation and discussion skills through the critical analysis of domestic and global issues.,1,00 Generic programmes and qualifications,1,"Focuses on general academic presentation and discussion skills, analyzing broad domestic and global issues."
EG414,Academic Listening-Speaking,"Development of advanced English listening and speaking skills in an academic setting through panel discussions, lectures, and oral presentations in academic conferences.",1,00 Generic programmes and qualifications,1,Develops advanced English listening and speaking skills for general academic settings and presentations.
EL206,Productive English Skills for Academic Study,"Development of core academic English writing and speaking skills in a range of academic disciplines. Practice of producing academic essays, reports, presentations, and being involved in debates and discussions. Study of core steps in producing academic papers and developing presentation skills with an emphasis on diverse and contemporary issues.",1,00 Generic programmes and qualifications,1,"Develops core academic English writing and speaking skills for essays, reports, presentations, and discussions across disciplines."
TU104,"Critical Thinking, Reading, and Writing","Development of critical thinking through questioning, analytical, synthetic and evaluation skills. Students learn how to read without necessarily accepting all the information presented in the text, but rather consider the content in depth, taking into account the objectives, perspectives, assumptions, bias and supporting evidence, as well as logic or strategies leading to the author's conclusion. The purpose is to apply these methods to students' own persuasive writing based on information researched from various sources, using effective presentation techniques.",1,00 Generic programmes and qualifications,1,"Develops critical thinking, analytical reading, and persuasive writing skills applicable across various academic disciplines."
EL125,English through Social Media,"Development of integrated English skills through different types of social media. Practice of language, vocabulary and expressions for digital communication.",1,00 Generic programmes and qualifications,1,"Develops integrated English skills, vocabulary, and expressions using social media for digital communication."
EL207,English through Entertainment Media,"Development of integrated English skills through movies, series and animation. Study of summarizing and producing texts related to cinematic art. Practice of expressing opinions and giving comments on movies and others' presentations.",1,00 Generic programmes and qualifications,1,"Develops integrated English skills using entertainment media like movies, series, and animation, focusing on cinematic art."
EL203,English for Test Preparation,"Development of skills and strategies for taking internationally-recognized standardized English tests. Practice of listening, reading, speaking, and writing for advanced academic studies. Application of test-taking strategies for individual self-directed language learning.",1,00 Generic programmes and qualifications,1,Develops English skills and strategies for internationally-recognized standardized tests and advanced academic studies.
SI505,Independent Study 2,"Explore a topic or an area of interest according to the curriculum of the university abroad, or work as an intern in an organization related to the curriculum of the university abroad.",1,00 Generic programmes and qualifications,1,"Broad independent study or internship, covering a topic related to the university curriculum."
SI504,Independent Study 1,Explore a topic or an area of interest according to the curriculum of the university abroad.,1,00 Generic programmes and qualifications,1,"Broad independent study, exploring a topic related to the university curriculum."
THE304,Fundamental Academic Writing and Research,Fundamentals of academic writing. Concepts and types of research. Research methodology. Students practice writing research proposal.,1,00 Generic programmes and qualifications,1,"Covers fundamental academic writing, research concepts, and methodology, applicable across all disciplines."
IPI501,Research Paper 1,Gathering literature and building research framework on a topic chosen by students under the supervision of his/her advisor. The topic must be advised and approved by advisor in that field. The research must be submitted in a proper academic form.,1,00 Generic programmes and qualifications,1,"Focuses on general research methodology, literature gathering, and academic writing, without a specific field."
CHE280,Technical Writing for Chemical Engineers,"Generating forms. Writing memoranda. Writing emails. Writing letters. Writing weekly reports. Writing experimental notebooks. Writing laboratory reports. Writing abstracts. Writing research articles. Expressing experimental results in graphs, figures, tables and diagrams. Making a list of references. Using softwares concerning document writing. Using techniques such as infographic in data presentation. Writing in English.",1,00 Generic programmes and qualifications,1,"Focuses on technical writing skills, report generation, and data presentation for engineering contexts."
JC491,Individual Studies,"In the final semester, student who has obtained required credits with no more than 15 credits remaining, is required to study and/or conduct a special case study, individual project, or workshop of his/her interest.",1,00 Generic programmes and qualifications,1,"General individual project or workshop, non-specialised, covering a wide range of subjects."
LSE101,Fostering Learning Skills,"Learning concepts; discovery of personal interests; learning styles; listening and reading, comprehension skills; critical thinking; fallacy; argument formation; writing skills; analytical writing skills; reflection skills; presentation skills; different types of learning tools.",1,00 Generic programmes and qualifications,1,"Develops general learning, critical thinking, and communication skills, fitting generic programmes."
DTI492,Experiential Learning,"Learning through individual or group practice cooperated with advisors and having a result as a software, innovation, or other products cooperated with internal or external organizations.",1,00 Generic programmes and qualifications,1,"Focuses on learning through practice to produce software, innovation, or products, fitting generic skills."
DTI493,Learning through Research,Learning through individual or group practice cooperated with advisors and participating in a national or international conference or accepted for publication in a national or international journal.,1,00 Generic programmes and qualifications,1,"Focuses on learning through research, leading to conference participation or publication, fitting generic skills."
DTI491,Learning through Competition,Learning through individual or group practice cooperated with advisors and participating in national or international competitions.,1,00 Generic programmes and qualifications,1,"Focuses on learning through participation in national or international competitions, fitting generic skills."
СМО541,Research Project 1,"Literature review on the student's area of interest, experimental design proposition, and preliminary data. Student and supervisor plan for the research topic of interest. Student creates a draft of proposal under the supervision of the supervisor. After approval, student presents his/her proposal at seminar sessions.",1,00 Generic programmes and qualifications,1,"Focuses on research project development, including literature review and experimental design, fitting generic skills."
AT391,Major Field Practices,"Major field practices not less than 300 hours in Thailand's private sector or oversea's government/private sectors followed by report submission, evaluation done by the training agencies with S or U.",1,00 Generic programmes and qualifications,1,"Provides generic field practice experience in private or government sectors, focusing on practical skills and evaluation."
TH291,Writing Proficiency Development,Overview of writing; organization of ideas; expressing thoughts and practice in basic writing skills.,1,00 Generic programmes and qualifications,1,"Develops basic, general writing skills, fitting generic programmes without field emphasis."
LSE480,Practicum,Practical experiences in organizations or institutions that focus on learning in various contexts under the instructor's supervision with at least 405 hours of practical experiences. Issued grade is Satiflation (S).,1,00 Generic programmes and qualifications,1,"Offers generic practical experiences in various contexts under supervision, without a specific field."
DBT346,Practical Internship,Practical internship in certified organization for at least 16 weeks in related field under supervision of co-operative education committee and representation of organization.,1,00 Generic programmes and qualifications,1,"Provides a generic practical internship in a certified organization in a related, unspecified field."
EL204,Presentation Skills,"Principles and theoretical foundation for presenting different speech types in English; components, types and formats of presentation; presentation techniques for effective public speaking; audience analysis; outlining, researching, and presentational aids; expressing opinions effectively.",1,00 Generic programmes and qualifications,1,"Develops general presentation and public speaking skills, fitting a generic program for personal development."
CNC301,Special Project / Co-Operative Education Preparation,Professional skills preparation. Job application and resume writing. Interview preparation. Critical thinking. Productivity tools. Teamwork. Professional report writing. Citation and bibliography. Presentation techniques. Effective communication.,1,00 Generic programmes and qualifications,1,"Focuses on general professional skills, communication, and job preparation, aligning with generic programs."
CHE586,Research paper writing,"Research methodology. Research Proposal. Plagiarism. Paraphrasing and citation. Essential parts in research report including, but not limited to, abstract, literature review, methodology, results, discussion and conclusion. Keywords selection. Title creation. References. Poster preparation and presentation. Research manuscript preparation. Techniques for research paper publication.",1,00 Generic programmes and qualifications,1,"Teaches research paper writing, covering methodology, proposal development, report structure, citation, and publication techniques."
EG434,Research Writing,"Research writing skills and fundamental research methods including selecting research topics, reviewing literature, collecting and analyzing data, and writing up research reports with citations and references.",1,00 Generic programmes and qualifications,1,"Develops research writing skills and fundamental research methods, including topic selection, literature review, data analysis, and report writing."
SI357,Special Problem,Researching an unsustainable issue by using various disciplines and skills to analyze and provide tangible solutions to problems.,1,00 Generic programmes and qualifications,1,"Involves researching an unsustainable issue, applying various disciplines to analyze and provide tangible solutions."
IPI502,Research Paper 2,"Researching, conducting, and analyzing data and information on a topic chosen by students under the supervision of his/her advisor. The research must be submitted in a proper academic form.",1,00 Generic programmes and qualifications,1,"Involves researching, conducting, and analyzing data on a chosen topic, submitted as an academic research paper."
DTI495,Special Projects,"Senior Projects will be assigned or approved by the department. This course prepares students for developing a proposal for doing research, writing research papers, and presenting the proposal to the committee.",1,00 Generic programmes and qualifications,1,"Focuses on generic research, proposal writing, and presentation skills, not a specific field."
CS303,Special Projects,"Senior Projects will be assigned or approved by the department. This course prepares students for developing a proposal for doing research, writing research papers, and presenting the proposal to the committee.",1,00 Generic programmes and qualifications,1,"Focuses on generic research, proposal writing, and presentation skills, not a specific field."
SI500,Cooperative Education,Students are required to work in a standard organization as a temporary member of staff for at least 16 consecutive weeks under supervision of an academic advisor and a job supervisor.,1,00 Generic programmes and qualifications,1,"General work experience program in an organization, focusing on practical skills and professional development."
GTS302,Technical Writing,"Students learn and practice writing and presentation of technical reports, which include reports of laboratory experiments, in-depth technical reports, overview articles of technical topics for the general public, as well as executive summaries.",1,00 Generic programmes and qualifications,1,"Focuses on developing writing and presentation skills for technical reports, applicable across various technical fields."
SPD450,Seminar: Skills for Work,"Students, while reflecting on their internships and other work-related experiences,hone a core set of skills and traits in preparation for future employment. This course aims tobuild students’ knowledge and understanding of organisational environment and culture throughactive discussions and reflections on workplace-related themes. Through student-leddiscussions, seminars, fora and roundtable sessions, students enhance presentation,engagement, and communications skills through classroom leadership, and also start buildingtheir networks and contacts with prospective employers.",1,00 Generic programmes and qualifications,1,"Seminar on generic skills for work, employment preparation, and organizational understanding."
EL395,Academic English and Study Skills 2,Study of academic English skills at an advanced level. Practice of writing different types of academic essays. Development of skills required for conducting research and reporting results in English.,1,00 Generic programmes and qualifications,1,"Focuses on general academic English and study skills, applicable across various disciplines, making it generic."
EL295,Academic English and Study Skills 1,"Study of academic English skills at an intermediate level. Development of skills required for academic study. Practice of reading strategies, writing different types of academic texts, and presenting results.",1,00 Generic programmes and qualifications,1,"Focuses on general academic English and study skills, applicable across various disciplines, making it generic."
