curriculum,course_type,th_abv,eng_abv,th_name,eng_name,credit,lect_hours,practice_hours,self_hours,th_desc,eng_desc,prerequisite
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.108,TU108,การพัฒนาและจัดการตนเอง,Self Development and Management,3,3,0,6,การจัดการและการปรับเข้ากับชีวิตในรั้วมหาวิทยาลัย ท่ามกลางความหลากหลายและเสรีภาพ การพัฒนาทักษะทางสังคมและความฉลาดทางอารมณ์ การเข้าใจตนเองและการวางแผนอนาคต การพัฒนาบุคลิกภาพและมารยาททางสังคม การเรียนรู้ตลอดชีวิต การอยู่ร่วมกับผู้อื่นอย่างสงบสุขและเคารพซึ่งกันและกัน และการดูแลสุขภาพแบบองค์รวม,Coping with and adaptation to university life. Development of social skill and emotional intelligence. Self-understanding and planning for the future. Personality and social etiquette. Lifelong learning. Learning to live harmoniously and respectfully with others and the society. Holistic healthcare.,
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.201,TU201,ความรู้ทางการเงินสำหรับบุคคล,Financial Literacy for Individuals,3,3,0,6,เรียนรู้พื้นฐาน หลักการ ความสำคัญและแนวทางวางแผนการเงินเพื่อเป้าหมายชีวิตการใช้เครื่องมือทางการเงิน รวมทั้งเทคนิคต่างๆ ประกอบด้วย เทคนิคการค้นหาตนเอง เทคนิคการวางแผนการเงินทั้ง รู้หา รู้เก็บ รู้ใช้ และรู้ขยายดอกผล เทคนิคการจัดสรรเงินออมและการลงทุนแบบ DCA เทคนิคบริหารจัดการหนี้ เทคนิคการเพิ่มเงินออม เทคนิคในการวางแผนประหยัดภาษีเงินได้บุคคลธรรมดา ตลอดจนหลักการและความสำคัญของปรัชญาเศรษฐกิจพอเพียงต่อสังคมไทย เพื่อน้อมนำมาประยุกต์ใช้ในการดำรงชีวิต,"To learn the foundations, principles, importance and guidelines of financial planning for life goals, the uses of financial instruments, together with self-discovery techniques, financial planning techniques including how to earn, collect, use and invest money, savings allocation and DCA investment techniques, debt management techniques, savings increase techniques, personal income tax saving planning techniques as well as the principles and importance of the Sufficiency Economy Philosophy in Thai society in order to be applied in living.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.243,TU243,ทักษะดิจิตอลเพื่ออนาคต,Digital Skills for the Future,3,3,0,6,เรียนรู้ทักษะการใช้เทคโนโลยีดิจิทัล การรู้และใช้สื่อ (Media literacy) ทักษะในการใช้เทคโนโลยีเพื่อการติดต่อ สื่อสาร เพื่อการทำงานร่วมกัน (Communications and collaboration) ทักษะความสามารถในการใช้ดิจิทัล เสริมกับอาชีพแห่งตน จัดการดูแลอัตลักษณ์ความเป็นตัวตนในโลกไซเบอร์ (Career & Identity management) ทักษะการใช้เทคโนโลยีดิจิทัล (Digital literacy) เข้าใจเทคโนโลยีดิจิทัลพื้นฐาน ใช้อุปกรณ์ทางด้านดิจิทัลได้ ทักษะการใช้ดิจิทัลเพื่อการเรียนรู้ (Learning skills) ทักษะการใช้ข้อมูลข่าวสารเพื่อประโยชน์เชิงวิชาการ (Digital scholarship) และทักษะการใช้ข้อมูลข่าวสาร (Information literacy),"Learn Digital Technology Skills, Media Literacy, Skills in using Technology for Communication for Collaboration (Communications and collaboration), Digital Skills to Support their Career (Career and Identity Management), Digital Literacy, Understand Basic Digital Technology, able to use Digital Devices, Digital Skills for Academic and Information Literacy.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.100,TU100,พลเมืองกับการลงมือแก้ปัญหา,Civic Engagement,3,3,0,6,ปลูกฝังจิตสํานึก บทบาท และหน้าที่ความรับผิดชอบของการเป็นสมาชิกที่ดีของสังคมในฐานะพลเมืองโลก ผ่านกระบวนการหลากหลายวิธี เช่น การบรรยาย การอภิปรายกรณีศึกษาต่างๆ ดูงานเป็นต้น โดยนักศึกษาจะต้องจัดทําโครงการรณรงค์ เพื่อให้เกิดการรับรู้ หรือเกิดการเปลี่ยนแปลง ในประเด็นที่สนใจ,"Instillation of social conscience and awareness of one's role and duties as a good global citizen. This is done through a variety of methods such as lectures, discussion of various case studies and field study outings. Students are required to organise a campaign to raise awareness or bring about change in an area of their interest.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,มธ.300,TU300,การทำโครงงานบริการสังคมแบบผสมผสานความรู้,Multidisciplinary Service Learning Project,3,3,0,6,การทำโครงงานบริการสังคม การเรียนรู้โดยผ่านการประยุกต์องค์ความรู้และทักษะในวิชาชีพคณะอื่นหรือสาขาวิชาอื่นภายในคณะเดียวกันเพื่อเรียนรู้เรื่องบูรณาการความรู้ข้ามศาสตร์และสาขาวิชาในการแก้ปัญหาให้ประชาชน,Service Learning through the implement of knowledge and professional skills of students from different faculties or majors; Learning the integration of knowledge in different disciplines to solve problems for the people.,
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาศึกษาทั่วไป,พจพ.120,CMM120,พลเมืองกับการลงมือแก้ปัญหาเชิงวิทยาศาสตร์สุขภาพ,Engagement in Health Science,3,3,0,6,ประชาธิปไตย คุณลักษณะของพลเมืองที่ประกอบไปด้วยการเคารพกฏ เคารพสิทธิของผู้อื่น เคารพความแตกต่าง เคารพความเท่าเทียม ตลอดจนการพึ่งพาตนเอง การมีความรับผิดชอบต่อสังคม มีความสามารถ ในการคิดวิเคราะห์ การลงมือทำในประเด็นสิ่งแวดล้อม ปัญหาของประเทศและโลก ด้วยเป้าหมายการพัฒนาที่ยั่งยืน มีพื้นฐานการปฐมพยาบาลเบื้องต้น เรียนรู้จากการศึกษาชุมชน การสร้างสรรค์และดำเนินโครงงานที่สอดคล้องเชิงวิทยาศาสตร์,"Democracy, characteristics of civic citizen including respecting the rules, respecting others' rights, respecting differences, respecting equality, self-dependence, social responsibility, and thinking ability, civic engagement, environmental issues, problems in country and world, Sustainable Development Goals (SDGs), first aid course, community visiting, project creation and implementation related to health science.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.241,SN241,วิทยาศาสตร์การกีฬาและการออกกำลังกายเบื้องต้น,Introduction to Sports and Exercise Sciences,2,2,0,4,ประวัติ ความหมาย หลักการ ความรู้พื้นฐาน บทบาท และการประยุกต์ใช้วิทยาศาสตร์การกีฬาและการออกกำลังกาย เพื่อสุขภาพและความเป็นเลิศทางการกีฬา,"History, definition, principle, basic knowledge, role and application to sports and exercise sciences for health and sports excellence.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศฬ.263,SD263,อาชีวอนามัยและความปลอดภัยทางการกีฬา,Occupational Health and Safety in Sport,3,3,0,6,วิวัฒนาการทางประวัติศาสตร์ของอาชีวอนามัยและความปลอดภัยทั้งในระดับสากลและในประเทศไทย พื้นฐานกฎหมายแรงงาน แนวคิดและประเภทของสัญญาจ้าง รวมถึงปัจจัยเสี่ยงด้านร่างกาย จิตใจ สุขภาพสังคม สารเคมี และชีวภาพ การเจ็บป่วยและอุบัติเหตุจากการทำงาน รวมถึงการป้องกันทางด้านอาชีวอนามัย สถานที่ และหัวข้อการประเมินความเสี่ยงด้วย จะมุ่งเน้นไปทางด้านอาชีวอนามัยและความปลอดภัยการจัดการทางกีฬา,"The historical evolution of Occupational Health and Safety both internationally and in Thailand. The fundamentals of labor law, the concept and types of employment contracts, There will be physical, mental, social health, chemical, and biological risk factors provided including the occupational health prevention. Personal protective equipment, locations, and risk assessment will emphasize in the sport occupational health and safety.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.110,BSC110,ร่างกายมนุษย์สำหรับการออกกำลังกายและการกีฬา,Human Body for Exercise and Sports,3,2,2,5,ศึกษาโครงสร้าง หน้าที่กลไกการทำงาน และการควบคุมอวัยวะและระบบต่างๆ ของมนุษย์ การทำงานของระบบต่างๆ ในภาวะปกติ ได้แก่ ระบบผิวหนัง ระบบโครงร่างและกล้ามเนื้อ ระบบประสาท ระบบอวัยวะสัมผัสพิเศษ ระบบหัวใจและไหลเวียนโลหิต และระบบต่อมไร้ท่อ,"Human macroscopic structures and anatomical compositions with the emphasis on the function of muscles and the relationships of bones, joints, tendons, muscles, nerves and blood supplies; functions and physiological changes of various human body systems including responses to external stimulation resulting in various systemic adaptations in the human body.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.210,BSC210,การวิเคราะห์การเคลื่อนไหวและเกมส์การแข่งขันในกีฬา,Movement and Game Analysis in Sports,3,2,2,5,หลักชีวกลศาสตร์พื้นฐานและการวิเคราะห์การเคลื่อนไหวในกีฬาประเภทต่างๆ รวมทั้งการใช้เทคโนโลยีพื้นฐานในการวิเคราะห์การเคลื่อนไหวเพื่อพัฒนาทักษะในกีฬาประเภทต่างๆ รูปแบบการวิเคราะห์การแข่งขัน การรวบรวมข้อมูล วิธีการวิเคราะห์ผู้เล่น การนำไปใช้,Principles of the sports movement analysis including biomechanics knowledge and game analysis to athletic development.,
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.310,BSC310,เวชศาสตร์การกีฬาเบื้องต้น,Basic Sport Medicine,3,2,2,5,ความหมาย หลักการ ความรู้พื้นฐาน ของเวชศาสตร์การกีฬา ศึกษาบทบาทของเวชศาสตร์การกีฬากับการกีฬา การบาดเจ็บที่เกิดจากการเล่นกีฬาและการออกกำลังกายที่พบบ่อย หลักการปฐมพยาบาลเบื้องต้น การดูแลการบาดเจ็บเบื้องต้น รวมถึงการเตรียมตัวนักกีฬาในด้านต่างๆ,"Sports medicine definition, principles and basic knowledge; roles of sports medicine in sports; common injuries in sports and exercise; first aids; basic sport injury prevention and athletic preparation.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.252,SN252,ผู้นำทางกีฬาและนันทนาการ,Leadership in Sports and Recreation,3,2,2,5,ศึกษา วิเคราะห์ การเป็นผู้นำประเภทต่างๆ ความแตกต่างและความสัมพันธ์ระหว่างผู้นำกับผู้ตาม ปัจจัยที่ส่งเสริมการเป็นผู้นำอย่างมีประสิทธิภาพ คุณลักษณะของผู้นำนันทนาการที่ดี วิธีการนำและบริหารจัดการนันทนาการในรูปแบบต่างๆ การจัดกิจกรรมนันทนาการให้เหมาะสมกับกลุ่มบุคคลและสถานการณ์ รวมทั้งการเขียนโครงการนันทนาการเพื่อนำเสนอและดำเนินโครงการนันทนาการในสถาบันหรือหน่วยงานต่างๆ การเรียนรู้การพัฒนาบุคลิกภาพ การปรับตัว และการสื่อสารต่อหน้าสาธารณะชน,"Theories of leadership, motivation and practical applications of a leader in sports and recreation activities. Leadership skills development, speech and presentation skills in various activites.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.244,SN244,หลักเบื้องต้นในการสอนและการฝึกกีฬา,Basic Principle of Sports Coaching and Teaching,2,2,0,4,หลักและวิธีการในการถ่ายทอดความรู้ เทคนิคในการถ่ายทอดความรู้ รูปแบบและวิธีการสอน ลักษณะและพฤติกรรมของนักกีฬา ปัญหาในการฝึกซ้อมและวิธีการแก้ไข วิธีการสร้างแรงจูงใจและความร่วมมือในการฝึกซ้อม,"Principles and methods in teaching, teaching techniques, teaching pattern, characteristics and behavior of athletes. Problems related to training and decision making. Techniques to induce inspiration and cooperation in practice.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.301,SN301,กฎหมายและจริยธรรมด้านการกีฬา,Laws and Ethics in Sports,1,1,0,2,ศึกษากฎระเบียบ ข้อบังคับและกฎหมายต่าง ๆ รวมถึงจรรยาบรรณด้านการกีฬา,"Rules, acts, laws and ethics in sports.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.231,BSC231,การฝึกด้วยการใช้น้ำหนักเบื้องต้น,Basic Weight Training,3,2,2,5,หลักการ รูปแบบ ประเภทของการฝึกโดยการใช้น้ำหนัก ท่าทางและการใช้อุปกรณ์ที่ถูกต้องและการดูแลความปลอดภัยจากการฝึกด้วยน้ำหนัก เพื่อเสริมสร้างความแข็งแรง ความอดทน ความเร็วและกำลังของกล้ามเนื้อ และสามารถออกแบบการเขียนโปรแกรมการฝึกด้วยน้ำหนักโดยการใช้หลักการฝึกด้วยน้ำหนักตามความต้องการของแต่ละลักษณะกีฬาได้,"Weight training principles, formats and program design specifically for individual sports to improve muscle performance; weight training safety.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.232,BSC232,การประเมินและการทดสอบสมรรถภาพทางกีฬา,Fitness Evaluation and Testing in Sports,3,2,2,5,ศึกษาองค์ประกอบของสมรรถภาพทางกายด้านต่างๆ รูปแบบและขั้นตอนในการทดสอบสมรรถภาพทางกายทั้งทางห้องปฏิบัติการ และภาคสนาม ประโยชน์ของการทดสอบสมรรถภาพทางกาย สามารถวัดและประเมินผลการทดสอบสมรรถภาพทางกายที่เหมาะสมในแต่ละบุคคล,"Laboratory and field tests of physical fitness, related testing instrument, standard and maintenance of equipment used in physical fitness testing.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.330,BSC330,การฝึกทักษะทางจิตใจของนักกีฬาสำหรับผู้ฝึกสอนกีฬา,Psychological Skills Training of Athletes for Coaches,2,1,2,3,ความสำคัญและประโยชน์ของการฝึกทักษะทางจิตใจของนักกีฬา ขั้นตอนการฝึกทักษะทางจิตใจ และเทคนิคทางจิตใจของนักกีฬาสำหรับผู้ฝึกสอนกีฬา เช่น การตั้งเป้าหมาย การพูดกับตนเอง การจินตภาพ การควบคุมการหายใจ และการผ่อนคลายกล้ามเนื้อ,"The importance and benefits of athletes' psychological skills training. The process of the athlete's psychological skills training and psychological techniques for coaches, for example, goal setting, self-talk, imagery, breathing control, and muscle relaxation.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.331,BSC331,การฝึกเสริมสร้างสมรรถภาพทางกาย,Body Conditioning,3,2,2,5,หลักการ วิธีการ การออกแบบและพัฒนาโปรแกรมการเสริมสร้างสมรรถภาพทางกาย ทางด้านระบบการหายใจและหัวใจ ระบบกล้ามเนื้อ และองค์ประกอบของร่างกายที่เหมาะสม,"Principles, protocol, design and development of program for improving physical performance including the cardio-respiratory system, muscular system and body composition.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.332,BSC332,จิตวิทยาการกีฬาสำหรับผู้ฝึกสอนกีฬา,Sport Psychology for Coaches,2,2,0,4,หลักการและทฤษฎีทางจิตวิทยาการกีฬาที่ใช้สำหรับการฝึกซ้อมและการแข่งขันกีฬา ปัจจัยทางจิตใจที่ส่งผลต่ออารมณ์ ความรู้สึก การเรียนรู้ การรับรู้ ความเชื่อและการแสดงความสามารถทางกาย บุคลิกภาพทางการกีฬา แรงจูงใจทางการกีฬา ความเชื่อมั่นทางการกีฬา ความเครียดและความวิตกกังวลทางการกีฬา การวัดและประเมินผลทางจิตวิทยาการกีฬา,"Principles and theories in sport psychology for applying in training and competition; psychological factors affecting emotion, feeling, learning, perception, persuasion and physical performance; personality in sport; motivation in sport; sport confidence; stress and anxiety in sport; sport psychological assessment and evaluation.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.333,BSC333,การกำหนดโปรแกรมการฝึกซ้อมทางการกีฬา,Sports Periodization,3,2,2,5,เรียนรู้หลักการฝึกซ้อม และการเขียนโปรแกรม การฝึกซ้อม รายปี รายเดือน รายสัปดาห์ การแบ่งช่วงเวลาการฝึก การแบ่งช่วงความหนักของการฝึก การวางแผนการฝึกซ้อมและช่วงเวลาการฟื้นสภาพของนักกีฬา,Principles and theory in planning for practice and competition to improve performance and effectiveness in each sport.,
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศกฬ.431,BSC431,โภชนาการและอาหารเสริมทางการกีฬา,Nutrition and Supplement for Sports,2,2,0,4,ชนิดและคุณค่าของสารอาหาร อาหารและหลักโภชนาการต่างๆ ความต้องการสารอาหารและพลังงาน โภชนาการสำหรับกีฬาประเภทต่างๆ อาหารเสริมประเภทต่างๆที่ส่งผลทางการกีฬา กระประยุกต์ใช้ความรู้ด้านโภชนาการและอาหารเสริมเพื่อสุขภาพและส่งเสริมสมรรถภาพ,"Nutritional principles and various kinds of nutrition. Types and advantages of nutrient, nutrient needs. Nutrient and energy requirements. Nutrition for different sport players. The effects of supplement for sports. The application of nutrition and supplementation for health as well as performance promotion.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,ศฬ.364,SD364,การบริหารจัดการสถานที่และการจัดการแข่งขันกีฬา,Facility and Event Management in Sports,3,3,2,6,ทฤษฎีหลักการแนวความคิดในการจัดการบริหารสถานที่และสิ่งอำนวยความสะดวกทางการกีฬา มาตรฐานคุณลักษณะ การเลือกเครื่องมือและสิ่งอำนวยความสะดวกทางการกีฬา รูปแบบองค์กร การจัดการแข่งขัน กลยุทธ์ของการจัดการแข่งขันกีฬาการวิเคราะห์และการวางแผน การจัดการ แข่งขันกีฬาการจัดกิจกรรมกีฬาในสถานที่จริง,Theory and concept in managing sports venue and facilities.Criteria in selecting tools and facilities for sports management Format of sports organizing committee Strategy of sports management Analyzing and planning in sports management .Organizing sports event in actual location,
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.211,SN211,กรีฑา,Track and Field,1,0,2,1,ทักษะและเทคนิคพื้นฐาน สมรรถภาพทางกาย การป้องกันการบาดเจ็บ กฎและกติกา และ การดูแลรักษาอุปกรณ์สำหรับกรีฑา,"Basic skills and techniques, physical fitness, injury prevention, rules and regulations and equipment maintenance for track and field.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.212,SN212,ว่ายน้ำ,Swimming,1,0,2,1,ทักษะและเทคนิคพื้นฐาน สมรรถภาพทางกาย การป้องกันการบาดเจ็บ กฎและกติกา และ การดูแลรักษาอุปกรณ์สำหรับกีฬาว่ายน้ำ,"Basic skills and techniques, physical fitness, injury prevention, rules and regulations and equipment maintenance for swimming.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.213,SN213,ฟุตบอล,Football,1,0,2,1,ทักษะและเทคนิคพื้นฐาน สมรรถภาพทางกาย การป้องกันการบาดเจ็บ กฎและกติกา และ การดูแลรักษาอุปกรณ์สำหรับกีฬาฟุตบอล,"Basic skills and techniques, physical fitness, injury prevention, rules and regulations and equipment maintenance for football.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.214,SN214,บาสเกตบอล,Basketball,1,0,2,1,ทักษะและเทคนิคพื้นฐาน สมรรถภาพทางกาย การป้องกันการบาดเจ็บ กฎและกติกา และ การดูแลรักษาอุปกรณ์สำหรับกีฬาบาสเกตบอล,"Basic skills and techniques, physical fitness, injury prevention, rules and regulations and equipment maintenance for basketball.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.220,SN220,เทนนิส,Tennis,1,0,2,1,ทักษะและเทคนิคพื้นฐาน สมรรถภาพทางกาย การป้องกันการบาดเจ็บ กฎและกติกา และ การดูแลรักษาอุปกรณ์สำหรับกีฬาเทนนิส,"Basic skills and techniques, physical fitness, injury prevention, rules and regulations and equipment maintenance for tennis.",
ศศ.บ. สาขาวิชาการฝึกสอนกีฬา (ปรับปรุง 2567),วิชาเฉพาะ,วฬ.333,SN333,แอโรบิกด้านซ์,Aerobic Dance,1,0,2,1,ทักษะและเทคนิคพื้นฐาน สมรรถภาพทางกาย การป้องกันการบาดเจ็บ และการดูแลรักษา อุปกรณ์สำหรับกิจกรรมแอโรบิกด้านซ์,"Basic skills and techniques, physical fitness, injury prevention, and equipment maintenance for aerobic dance.",
